Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,SRC_method
16/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Chaetoceros sp.,2,400,10000
16/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,7,1400,35000
16/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium fusus,1,200,5000
17/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,5,1000,25000
17/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,3,600,15000
17/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium diabolum,1,200,5000
20/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Alexandrium sp.,2,400,10000
20/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium diabolum,2,400,10000
22/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,12,2400,60000
22/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,10,2000,50000
23/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium fusus,1,200,5000
23/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Pseudo-nitzschia australis,1,200,5000
