Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,,Yellow_block,RG_meth,SRC_method
14/02/2017,08:00:00,Lorna,Primary sump,5000,22,0.022,Gonyaulax polygramma,59,536,2 682,13409.09091,295,121818.1818
18/06/2019,08:00:00,Pertunia,Primary sump,5000,22,0.022,Prorocentrum minimum,22,200,1 000,5000,110,45454.54545
14/02/2017,08:00:00,Lorna,Primary sump,5000,22,0.022,Protoperidinium conicum,14.6,133,664,3318.181818,73,30227.27273
14/02/2017,08:00:00,Lorna,Primary sump,5000,22,0.022,Ceratium furca,12,109,545,2727.272727,60,24772.72727
14/02/2017,08:00:00,Lorna,Primary sump,5000,22,0.022,Protoperidinium oceanicum,12,109,545,2727.272727,60,24772.72727
14/02/2017,08:00:00,Lorna,Primary sump,5000,22,0.022,Protoperidinium diabolum,2,18,91,454.5454545,10,4090.909091
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,1319,12 562,62 810,314047.619,6595,2990952.381
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,394,3 752,18 762,93809.52381,1970,893333.3333
13/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,304,2 895,14 476,72380.95238,1520,689285.7143
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Lingulodinium polyedrum,226,2 152,10 762,53809.52381,1130,512380.9524
16/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,166,1 581,7 905,39523.80952,830,376428.5714
18/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Gonyaulax polygramma,159,1 514,7 571,37857.14286,795,360476.1905
01/02/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,135,1 286,6 429,32142.85714,675,306190.4762
31/01/2017,08:00:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,79,752,3 762,18809.52381,395,179047.619
