Sample,Date,Time,Counted by,Site
805,19/03/2019,22:30,Pertunia,Primary sump
806,19/03/2019,22:30,Pertunia,After Drumfilter
807,20/03/2019,18:30,Pertunia,Primary sump Sump
808,20/03/2019,18:30,Pertunia,After Drumfilter
809,20/03/2019,20:15,Pertunia,Primary sump Sump
810,20/03/2019,20:15,Pertunia,After Drumfilter
811,20/03/2019,22:00,Pertunia,Primary sump Sump
812,20/03/2019,22:00,Pertunia,After Drumfilter
813,20/03/2019,00:00,Pertunia,Primary sump Sump
814,20/03/2019,00:00,Pertunia,After Drumfilter
815,21/03/2019,02:00,Pertunia,Primary sump Sump
816,21/03/2019,02:00,Pertunia,After Drumfilter
817,21/03/2019,04:00,Pertunia,Primary sump Sump
818,21/03/2019,04:00,Pertunia,After Drumfilter
819,21/03/2019,05:00,Pertunia,Primary sump Sump
820,21/03/2019,05:00,Pertunia,After Drumfilter
821,21/03/2019,07:30,,Primary sump sump
822,21/03/2019,07:30,Lorna,After Drumfilter
823,21/03/2019,09:30,Lorna,Primary sump sump
824,21/03/2019,09:30,Lorna,After Drumfilter
825,21/03/2019,11:00,Lorna,Primary sump sump
826,21/03/2019,11:00,Lorna,After Drumfilter
827,21/03/2019,13:00,Sarah,Primary sump sump
828,21/03/2019,13:45,Sarah,After Drumfilter
829,21/03/2019,13:45,Sarah,Primary sump sump
830,21/03/2019,15:00,Sarah,Primary sump sump
831,21/03/2019,16:30,Sarah,After Drumfilter
832,21/03/2019,18:00,Pertunia,Kelpcatchers
833,21/03/2019,20:00,Pertunia,Kelpcatchers
834,21/03/2019,21:00,Pertunia,Kelpcatchers
835,21/03/2019,22:00,Pertunia,Primary sump sump
836,21/03/2019,22:00,Pertunia,After Drumfilter
837,21/03/2019,23:00,Pertunia,Primary sump sump
838,21/03/2019,23:00,Pertunia,After Drumfilter
839,21/03/2019,00:00,Pertunia,Primary sump sump
840,21/03/2019,00:00,Pertunia,After Drumfilter
841,22/03/2019,01:00,Pertunia,Primary sump sump
842,22/03/2019,01:00,Pertunia,After Drumfilter
843,22/03/2019,02:00,Pertunia,Primary sump sump
844,22/03/2019,02:00,Pertunia,After Drumfilter
845,22/03/2019,03:00,Pertunia,Primary sump sump
846,22/03/2019,03:00,Pertunia,After Drumfilter
847,22/03/2019,04:00,Pertunia,Primary sump sump
848,22/03/2019,04:00,Pertunia,After Drumfilter
849,22/03/2019,05:00,Pertunia,Primary sump sump
850,22/03/2019,05:00,Pertunia,After Drumfilter
851,22/03/2019,08:00,Lorna,Primary sump sump
852,22/03/2019,08:30,Lorna,Primary sump sump
853,22/03/2019,09:00,Lorna,Primary sump sump
854,22/03/2019,09:00,Lorna,After Drumfilter
855,22/03/2019,09:50,Lorna,Primary sump sump
856,22/03/2019,09:50,Lorna,After Drumfilter
857,22/032019,11:00,Lorna,Primary sump sump
858,22/03/2019,11:00,Lorna,After Drumfilter
859,22/03/2019,12:00,Lorna,Primary sump sump
860,22/03/2019,12:00,Lorna,After Drumfilter
861,22/03/2019,13:00,Lorna,Primary sump sump
862,22/03/2019,13:00,Lorna,After Drumfilter
863,22/03/2019,15:00,Sarah,After Drumfilter
864,22/03/2019,15:00,Sarah,Primary sump
865,22/03/2019,16:00,Sarah,Primary sump
