"","Sample","Date","Time","Counted.by","Site"
"395",47,"06/02/2019","08:20","Pertunia","Primary sump"
"396",47,"06/02/2019","08:20","Pertunia","Primary sump"
"397",47,"06/02/2019","08:20","Pertunia","Primary sump"
"398",48,"06/02/2019","14:00","Pertunia","Primary sump"
"399",48,"06/02/2019","14:00","Pertunia","Primary sump"
"400",48,"06/02/2019","14:00","Pertunia","Primary sump"
"401",48,"06/02/2019","14:00","Pertunia","Primary sump"
"402",48,"06/02/2019","14:00","Pertunia","Primary sump"
"403",48,"06/02/2019","14:00","Pertunia","Primary sump"
"404",48,"06/02/2019","14:00","Pertunia","Primary sump"
"405",48,"06/02/2019","14:00","Pertunia","Primary sump"
"406",49,"07/02/2019","08:00","Pertunia","Primary sump"
"407",49,"07/02/2019","08:00","Pertunia","Primary sump"
"408",49,"07/02/2019","08:00","Pertunia","Primary sump"
"409",49,"07/02/2019","08:00","Pertunia","Primary sump"
"410",49,"07/02/2019","08:00","Pertunia","Primary sump"
"411",49,"07/02/2019","08:00","Pertunia","Primary sump"
"412",49,"07/02/2019","08:00","Pertunia","Primary sump"
"413",49,"07/02/2019","08:00","Pertunia","Primary sump"
"414",49,"07/02/2019","08:00","Pertunia","Primary sump"
"415",49,"07/02/2019","08:00","Pertunia","Primary sump"
"416",50,"08/02/2019","08:00","Pertunia","Primary sump"
"417",50,"08/02/2019","08:00","Pertunia","Primary sump"
"418",50,"08/02/2019","08:00","Pertunia","Primary sump"
"419",50,"08/02/2019","08:00","Pertunia","Primary sump"
"420",50,"08/02/2019","08:00","Pertunia","Primary sump"
"421",50,"08/02/2019","08:00","Pertunia","Primary sump"
"422",50,"08/02/2019","08:00","Pertunia","Primary sump"
"423",50,"08/02/2019","08:00","Pertunia","Primary sump"
"424",51,"11/02/2019","09:00","Pertunia","Primary sump"
"425",51,"11/02/2019","09:00","Pertunia","Primary sump"
"426",51,"11/02/2019","09:00","Pertunia","Primary sump"
"427",51,"11/02/2019","09:00","Pertunia","Primary sump"
"428",51,"11/02/2019","09:00","Pertunia","Primary sump"
"429",51,"11/02/2019","09:00","Pertunia","Primary sump"
"430",51,"11/02/2019","09:00","Pertunia","Primary sump"
"431",51,"11/02/2019","09:00","Pertunia","Primary sump"
"432",51,"11/02/2019","09:00","Pertunia","Primary sump"
"433",51,"11/02/2019","09:00","Pertunia","Primary sump"
"434",51,"11/02/2019","09:00","Pertunia","Primary sump"
"435",51,"11/02/2019","09:00","Pertunia","Primary sump"
"436",52,"11/02/2019","14:00","Pertunia","Primary sump"
"437",52,"11/02/2019","14:00","Pertunia","Primary sump"
"438",52,"11/02/2019","14:00","Pertunia","Primary sump"
"439",52,"11/02/2019","14:00","Pertunia","Primary sump"
"440",52,"11/02/2019","14:00","Pertunia","Primary sump"
"441",53,"11/02/2019","15:00","Pertunia","Primary sump"
"442",54,"11/02/2019","16:17","Pertunia","Primary sump"
"443",54,"11/02/2019","16:17","Pertunia","Primary sump"
"444",54,"11/02/2019","16:17","Pertunia","Primary sump"
"445",54,"11/02/2019","16:17","Pertunia","Primary sump"
"446",54,"11/02/2019","16:17","Pertunia","Primary sump"
"447",54,"11/02/2019","16:17","Pertunia","Primary sump"
"448",54,"11/02/2019","16:17","Pertunia","Primary sump"
"449",54,"11/02/2019","16:17","Pertunia","Primary sump"
"450",55,"11/02/2019","17:00","Pertunia","Primary sump"
"451",55,"11/02/2019","17:00","Pertunia","Primary sump"
"452",56,"11/02/2019","18:00","Pertunia","Primary sump"
"453",56,"11/02/2019","18:00","Pertunia","Primary sump"
"454",56,"11/02/2019","18:00","Pertunia","Primary sump"
"455",57,"11/02/2019","20:00","Pertunia","Primary sump"
"456",57,"11/02/2019","20:00","Pertunia","Primary sump"
"457",57,"11/02/2019","20:00","Pertunia","Primary sump"
"458",57,"11/02/2019","20:00","Pertunia","Primary sump"
"459",58,"11/02/2019","20:30","Pertunia","Sec Swirler"
"460",58,"11/02/2019","20:30","Pertunia","Sec Swirler"
"461",58,"11/02/2019","20:30","Pertunia","Sec Swirler"
